company,date,referenceBp,roundingHalfWidthBp,originalBp,quantlibBp,eodPrice,equivalentCleanPriceForReference,equivalentCleanPriceDifference,impliedSharedCurveShiftBp
Oracle,2026-08-31,203.3,0.1,204.3725603696754,204.31197119621015,95.7863,95.82558302756489,0.03928302756489188,-39.61053604966482
NVIDIA,2026-08-31,82.3,0.1,82.16155524536391,82.17144694664367,100.7545,100.74902266211421,-0.005477337885778866,-30.25101388520568
Amazon,2026-08-31,65.8,0.1,65.5674198570739,65.58638374472544,101.4657,101.45648207381784,-0.009217926182159886,-26.131943876393397
Google,2026-08-31,58.5,0.1,60.11421570069445,60.13613382426186,101.7014,101.77234834097482,0.07094834097480884,170.34415085687726
Microsoft,2026-08-31,46.1,0.1,45.90748605993371,45.93703243476777,102.3201,102.31296066859765,-0.007139331402342464,-12.733466807944184
Meta,2026-08-31,93.1,0.1,92.99394082582893,92.99784218570395,100.2951,100.29078327312678,-0.004316726873227594,-61.21007140974655
Oracle,2026-09-04,201.03,0.055,201.85865970787032,201.65216001885088,95.9002,95.92433710430491,0.024137104304912782,-25.10381807987018
NVIDIA,2026-09-04,81.44,0.055,80.94251930469856,80.98036110481021,100.8031,100.78355378208077,-0.019546217919227615,-102.51386861331471
Amazon,2026-09-04,63.11,0.055,62.955350344271935,63.028672061993674,101.5719,101.56839321710098,-0.0035067828990236194,-9.300200439852803
Google,2026-09-04,58.31,0.055,58.10331994667379,58.18617382243106,101.7811,101.77574094195026,-0.005359058049734244,-12.537092690067205
Microsoft,2026-09-04,44.94,0.055,44.60024146293813,44.709531505747606,102.3674,102.35732257891767,-0.010077421082328897,-17.707782525590684
Meta,2026-09-04,90.0,0.055,89.91344505459787,89.93350553148746,100.4236,100.42079118707763,-0.002808812922367565,-27.79803615381127
Oracle,2026-09-11,186.1,0.05,186.92925832177772,186.74872327357483,96.5128,96.53803491582394,0.025234915823943993,-30.975201539391147
NVIDIA,2026-09-11,77.7,0.05,77.56402862671325,77.60974692719294,100.938,100.93418686854241,-0.003813131457590657,-17.09358528368909
Amazon,2026-09-11,63.9,0.05,63.31203886648256,63.38660666034908,101.5422,101.52027716829937,-0.02192283170062126,-59.852034860810484
Google,2026-09-11,61.0,0.05,61.600501382236914,61.6785229785282,101.6152,101.64422508757696,0.029025087576954434,74.81750180669167
Microsoft,2026-09-11,44.6,0.05,44.271103359688034,44.383981655478244,102.3597,102.3503402497213,-0.009359750278704837,-16.59356594772987
Meta,2026-09-11,83.5,0.05,83.72808080653539,83.76127495670956,100.6787,100.6896886575146,0.010988657514587885,67.68406905423775
